ID,評価,成績,試験,レポート,レポート提出率,小テスト受験率
1,不可,48,58.4615385,18,0.333333333,0.076923077
2,優,90,84.6153846,58,1,0.923076923
3,良,67,76.9230769,30,0.5,1
4,優,89,81.5384615,60,1,0.923076923
5,可,65,41.5384615,60,1,0.769230769
6,優,78,67.6923077,56,1,0
7,優,82,80,50,0.833333333,0.461538462
8,不可,19,30.7692308,0,0,0.846153846
9,可,62,49.2307692,48,0.833333333,0.230769231
10,優,77,63.0769231,58,1,0.384615385
11,K,0,0,0,0,0.153846154
12,優,85,73.8461538,60,1,0.076923077
13,可,60,55.3846154,40,0.666666667,0.846153846
14,優,81,78.4615385,50,0.833333333,0.769230769
15,K,0,0,0,0,0
16,優,88,87.6923077,30,0.5,0.076923077
17,可,64,38.4615385,60,1,1
18,良,74,63.0769231,54,1,1
19,良,67,55.3846154,50,0.833333333,0.692307692
20,可,63,49.2307692,50,0.833333333,0.538461538
21,K,7,0,10,0.166666667,0
22,良,69,69.2307692,40,1,0.076923077
23,良,66,50.7692308,52,1,0.461538462
24,不可,32,52.3076923,0,0,0.153846154
25,不可,27,44.6153846,0,0,0.846153846
26,良,76,70.7692308,50,0.833333333,0.384615385
27,良,73,58.4615385,56,1,0.923076923
28,優,90,89.2307692,28,0.5,0.307692308
29,良,67,60,46,0.833333333,0.923076923
30,可,62,69.2307692,30,0.666666667,0.615384615
31,優,78,64.6153846,58,1,0.846153846
32,良,70,66.1538462,44,0.833333333,0.076923077
33,優,81,72.3076923,56,1,0.384615385
34,K,27,0,40,0.666666667,0
35,優,86,75.3846154,60,1,0.461538462
36,可,58,40,50,1,0.076923077
37,K,0,0,0,0,0
38,優,84,72.3076923,60,1,0.538461538
39,優,80,76.9230769,50,0.833333333,0.230769231
40,可,56,55.3846154,34,0.666666667,0.153846154
41,K,0,0,0,0,0.076923077
42,可,62,47.6923077,50,0.833333333,0.230769231
43,K,0,0,0,0,0
44,良,73,58.4615385,56,1,0.307692308
45,優,84,72.3076923,60,1,0.846153846
46,良,76,58.4615385,60,1,0.307692308
47,良,73,72.3076923,44,0.833333333,0.153846154
48,優,87,80,58,1,0.846153846
49,優,79,66.1538462,58,1,1
50,良,75,72.3076923,46,0.833333333,0
51,優,83,75.3846154,56,1,0.615384615
52,優,79,64.6153846,60,1,1
53,優,84,83.0769231,50,0.833333333,0.769230769
54,秀,92,86.1538462,60,1,1
55,良,70,49.2307692,60,1,0.153846154
56,優,81,69.2307692,58,1,0.769230769
57,可,64,63.0769231,38,0.666666667,0.076923077
58,不可,55,69.2307692,20,0.5,0.461538462
59,良,75,64.6153846,54,1,0
60,秀,95,92.3076923,58,1,0.769230769
61,良,71,55.3846154,56,1,0
62,秀,98,95.3846154,60,1,1
63,優,82,81.5384615,48,0.833333333,0.076923077
64,良,74,67.6923077,50,0.833333333,0.384615385
65,良,75,72.3076923,46,0.833333333,0.461538462
66,優,79,75.3846154,50,0.833333333,0.846153846
67,可,62,58.4615385,40,0.833333333,0.076923077
68,優,80,80,48,0.833333333,0.384615385
69,不可,52,55.3846154,28,0.666666667,0.307692308
70,良,77,76.9230769,46,0.833333333,0.076923077
71,優,81,67.6923077,60,1,0.384615385
72,優,88,81.5384615,58,1,0
73,優,87,80,58,1,0.461538462
74,秀,93,87.6923077,60,1,1
75,不可,28,46.1538462,0,0,0.923076923
76,良,68,67.6923077,40,0.666666667,0.538461538
77,可,66,75.3846154,30,0.5,0.846153846
78,秀,92,87.6923077,58,1,0.615384615
79,可,65,43.0769231,58,1,0.615384615
80,優,88,78.4615385,60,1,0.153846154
81,可,60,76.9230769,20,0.333333333,1
82,可,64,52.3076923,48,0.833333333,0.230769231
83,優,79,66.1538462,58,1,0.461538462
84,良,77,64.6153846,56,1,0
85,良,66,63.0769231,42,0.833333333,0.153846154
86,良,69,61.5384615,48,0.833333333,0.153846154
87,不可,27,32.3076923,10,0.166666667,0.538461538
88,優,79,76.9230769,48,0.833333333,0.153846154
89,優,83,75.3846154,56,1,0.076923077
90,良,67,55.3846154,50,0.833333333,0.076923077
91,不可,47,21.5384615,50,1,0.307692308
92,優,79,72.3076923,52,1,0.153846154
93,優,78,73.8461538,50,0.833333333,0.076923077
94,優,85,73.8461538,60,1,1
95,優,85,76.9230769,58,1,0
96,優,78,64.6153846,58,1,0.615384615
97,優,84,83.0769231,26,0.5,0.076923077
98,不可,38,43.0769231,18,0.333333333,0.615384615
99,K,0,0,0,0.333333333,0.230769231
100,不可,20,32.3076923,0,0,0.769230769
101,可,59,64.6153846,30,0.5,0
102,良,72,63.0769231,50,0.833333333,0.461538462
103,不可,28,46.1538462,0,0,0.615384615
104,不可,35,33.8461538,22,0.5,0.461538462
105,不可,30,49.2307692,0,0,0
106,良,68,60,48,1,0.307692308
107,良,73,67.6923077,48,1,0.384615385
108,優,80,72.3076923,54,1,0.230769231
109,K,0,0,0,0,0
110,可,59,66.1538462,28,0.5,0.230769231
111,良,70,50.7692308,58,1,0.923076923
112,可,63,40,58,1,0.307692308
113,良,73,78.4615385,38,0.666666667,1
114,優,77,64.6153846,56,1,0.307692308
115,不可,48,46.1538462,30,0.5,0.153846154
116,良,72,67.6923077,46,0.833333333,0.230769231
117,良,74,58.4615385,58,1,0.307692308
118,優,87,76.9230769,60,1,0.923076923
119,良,69,63.0769231,46,0.833333333,0.153846154
120,優,89,81.5384615,60,1,0.076923077
121,良,68,67.6923077,40,0.666666667,1
122,優,80,80,0,0,0.076923077
123,優,80,76.9230769,50,0.833333333,0.923076923
124,優,81,67.6923077,60,1,0.692307692
125,不可,39,46.1538462,16,0.333333333,0.076923077
126,可,63,64.6153846,36,0.666666667,0.461538462
127,良,68,47.6923077,58,1,0.846153846
128,秀,91,86.1538462,58,1,0.846153846
129,不可,50,70.7692308,10,0.166666667,0
130,可,63,61.5384615,38,0.666666667,0.153846154
131,良,70,75.3846154,36,0.666666667,0.076923077
132,秀,91,86.1538462,58,1,1
133,優,82,69.2307692,60,1,0.153846154
134,優,80,78.4615385,48,0.833333333,0.846153846
135,不可,36,60,0,0,0.230769231
136,良,73,72.3076923,44,0.833333333,0.076923077
137,可,65,73.8461538,30,0.5,0
138,K,0,0,0,0,0.153846154
139,秀,100,98.4615385,60,1,0.461538462
140,良,72,63.0769231,50,0.833333333,0.692307692
141,優,88,78.4615385,60,1,0.769230769
142,良,76,58.4615385,60,1,0.230769231
143,優,78,73.8461538,50,0.833333333,0.307692308
144,可,65,63.0769231,40,0.666666667,0.615384615
