ID,評価,成績,試験,レポート,レポート提出率,小テスト受験率
1,秀,87,80,68,1,0.769230769
2,可,63,58.46153846,48,0.714285714,0.384615385
3,良,74,75.38461538,50,0.714285714,0.769230769
4,優,80,70.76923077,64,1,0.230769231
5,良,75,61.53846154,66,1,0.153846154
6,良,74,61.53846154,64,1,0.461538462
7,優,82,78.46153846,60,0.857142857,0.230769231
8,可,57,52.30769231,44,0.714285714,0.615384615
9,優,81,70.76923077,66,1,0.615384615
10,不可,54,60,31,0.571428571,0.307692308
11,可,61,56.92307692,46,0.857142857,0.923076923
12,可,65,47.69230769,62,1,0.846153846
13,可,65,50.76923077,60,1,0.076923077
14,良,67,61.53846154,51,0.857142857,0.076923077
15,良,73,53.84615385,70,1,0.769230769
16,秀,89,84.61538462,66,1,0.461538462
17,優,84,81.53846154,60,0.857142857,0.692307692
18,不可,17,27.69230769,0,0,0.153846154
19,優,78,64.61538462,68,1,1
20,不可,19,21.53846154,9,0.142857143,0.846153846
21,不可,33,53.84615385,0,0,0.230769231
22,K,0,0,0,0,0
23,優,79,64.61538462,70,1,0.076923077
24,優,84,72.30769231,70,1,0.923076923
25,優,81,86.15384615,50,0.714285714,0.923076923
26,K,0,0,0,0,0.076923077
27,K,0,0,0,0,0.230769231
28,優,79,73.84615385,60,0.857142857,0.615384615
29,不可,52,46.15384615,42,1,0.538461538
30,優,85,73.84615385,70,1,0.461538462
31,可,65,63.07692308,47,0.714285714,1
32,優,82,70.76923077,68,1,0.153846154
33,良,68,66.15384615,49,1,0.538461538
34,優,86,75.38461538,70,1,1
35,優,81,67.69230769,70,1,0.769230769
36,優,83,73.84615385,66,1,1
37,優,78,63.07692308,70,1,0.384615385
38,優,78,67.69230769,65,1,0.384615385
39,良,70,76.92307692,40,0.571428571,0.230769231
40,不可,52,69.23076923,18,0.285714286,0.153846154
41,良,69,49.23076923,68,1,1
42,優,86,78.46153846,68,1,0.538461538
43,不可,43,70.76923077,0,0,0.846153846
44,K,0,0,0,0,0
45,可,60,53.84615385,48,0.857142857,1
46,優,83,73.84615385,66,1,0.769230769
47,秀,89,75.38461538,75,1,0.692307692
48,可,68,73.84615385,40,0.714285714,0.538461538
49,可,58,56.92307692,40,0.571428571,0.153846154
50,良,71,61.53846154,58,0.857142857,0.307692308
51,優,77,69.23076923,62,1,1
52,不可,50,58.46153846,26,0.428571429,0.384615385
53,可,65,75.38461538,33,0.571428571,0.769230769
54,優,80,72.30769231,64,1,0.076923077
55,良,69,61.53846154,56,0.857142857,0.153846154
56,可,61,41.53846154,63,1,0.153846154
57,良,69,56.92307692,60,1,0.076923077
58,良,68,55.38461538,60,0.857142857,0.384615385
59,可,63,64.61538462,42,0.714285714,0.461538462
60,K,0,0,0,1,0.076923077
61,良,69,56.92307692,60,0.857142857,0.538461538
62,秀,95,90.76923077,70,1,1
63,秀,87,80,68,1,0.692307692
64,不可,44,63.07692308,10,0.142857143,0.230769231
65,K,12,0,20,0.285714286,0.153846154
66,秀,99,95.38461538,72,1,0.923076923
67,優,86,80,66,1,0.846153846
68,K,0,0,0,0,0.076923077
69,良,71,72.30769231,48,0.714285714,0.461538462
70,良,74,60,65,1,0.153846154
71,優,78,63.07692308,70,1,0.846153846
72,可,65,55.38461538,54,1,0.076923077
73,良,70,73.84615385,44,0.857142857,0.076923077
74,可,64,60,48,1,0
75,不可,49,70.76923077,10,0.142857143,0.692307692
76,可,64,70.76923077,37,0.571428571,0.153846154
77,秀,87,76.92307692,71,1,0.615384615
78,優,83,72.30769231,68,1,1
79,優,81,64.61538462,73,1,0.692307692
80,良,75,56.92307692,70,1,0.615384615
81,良,76,60,70,1,0.461538462
82,優,78,70.76923077,62,1,0.153846154
83,良,72,70.76923077,50,0.714285714,0.307692308
84,優,86,75.38461538,70,1,0.923076923
85,秀,93,87.69230769,70,1,1
86,優,65,83.07692308,26,0.428571429,1
87,良,69,67.69230769,48,0.714285714,0.615384615
88,良,75,60,68,1,0.384615385
89,可,62,60,45,0.714285714,0.923076923
90,優,79,64.61538462,70,1,0.923076923
91,秀,87,76.92307692,70,1,0.307692308
92,優,78,81.53846154,50,0.714285714,1
93,K,16,0,28,0.428571429,0.230769231
94,優,72,86.15384615,34,0.571428571,0.846153846
95,良,73,55.38461538,69,1,1
96,良,68,63.07692308,52,1,0
97,優,78,66.15384615,66,1,0.384615385
98,優,84,72.30769231,70,1,0.153846154
99,K,0,0,0,0,0.615384615
100,良,70,55.38461538,63,1,0.692307692
101,優,86,86.15384615,60,0.857142857,0.923076923
102,優,77,73.84615385,56,0.857142857,0.846153846
103,優,81,67.69230769,70,1,1
104,優,86,78.46153846,68,1,0.153846154
105,優,78,64.61538462,67,1,0.615384615
106,優,67,81.53846154,30,0.428571429,0.923076923
107,不可,50,44.61538462,40,0.571428571,0.153846154
108,優,79,69.23076923,65,1,0.153846154
109,良,73,58.46153846,66,1,0.692307692
110,K,0,0,0,0,0.076923077
111,良,69,58.46153846,58,1,0.076923077
112,可,59,60,40,0.714285714,0.076923077
113,優,85,75.38461538,68,1,1
114,優,79,76.92307692,56,0.857142857,0.692307692
115,良,75,63.07692308,65,1,0.076923077
116,可,58,61.53846154,36,0.571428571,0.230769231
117,優,86,76.92307692,68,1,1
118,良,75,64.61538462,63,1,0
119,優,80,67.69230769,68,1,0.692307692
120,不可,53,63.07692308,26,0.428571429,0.307692308
121,K,0,0,0,0,0.076923077
122,不可,52,60,28,0.571428571,0.384615385
123,不可,44,60,14,0.285714286,0.538461538
124,不可,48,61.53846154,18,0.285714286,0.384615385
125,優,70,80,38,0.571428571,0.076923077
126,良,67,56.92307692,56,0.857142857,0.846153846
127,K,0,0,0,0,0.461538462
128,可,58,50.76923077,47,1,0.769230769
129,優,84,72.30769231,70,1,0.769230769
130,良,72,69.23076923,52,0.857142857,0.076923077
131,K,0,0,0,0,0.692307692
132,優,77,61.53846154,70,1,0.923076923
133,優,78,66.15384615,66,1,0.153846154
134,K,0,0,0,0,0
135,不可,46,75.38461538,0,0.428571429,0
136,可,60,61.53846154,40,0.571428571,0.461538462
137,K,0,0,0,0,0
138,可,60,70.76923077,30,0.571428571,0.846153846
139,良,74,56.92307692,68,1,0.538461538
140,良,75,63.07692308,64,1,0.076923077
141,優,80,66.15384615,70,1,0.769230769
142,可,65,61.53846154,48,0.714285714,0.076923077
143,K,6,0,10,0.142857143,0.384615385
144,良,76,67.69230769,61,1,0.307692308
145,優,81,69.23076923,68,1,0.769230769
146,良,74,61.53846154,64,1,0.076923077
147,優,79,64.61538462,70,1,1
148,可,65,53.84615385,56,0.857142857,0.846153846
149,不可,38,63.07692308,0,0,0.384615385
150,良,68,78.46153846,36,0.714285714,0.076923077
151,優,78,76.92307692,54,0.857142857,0
152,K,0,0,0,0,0.153846154
153,不可,58,67.69230769,30,0.714285714,0.076923077
154,K,0,0,0,0,0
155,秀,92,81.53846154,75,1,0.846153846
156,秀,93,89.23076923,68,1,0.846153846
157,K,11,0,19,0.285714286,0.153846154
